,UniqueID,,Course,
,31,,SPAN405,
,31,,SPAN407,
,31,,SPAN421,
,31,,SPAN423,
,31,,ZOOL361,
,31,,ZOOL363,
,32,,ARHI203,
,32,,ARHI327,
,32,,ARHI329,
,32,,ARHI365,
,32,,ARHI423,
,32,,ART231,
,32,,ART299,
,32,,ART315,
,32,,ART331,
,32,,ART339,
,32,,ART395,
,32,,ART401,
,32,,BSEN291,
,32,,CPSC203,
,32,,ECON201,
,32,,ECON203,
,32,,ECON321,
,32,,ECON341,
,32,,ECON357,
,32,,ECON359,
,32,,ECON395,
,32,,ECON431,
,32,,ECON465,
,32,,ECON487,
,32,,ECON493,
,32,,ECON499,
,32,,FINA201,
,32,,MATH249,
,32,,ROST299,
,32,,STAT213,
,32,,STAT217,
,33,,ANTH311,
,33,,ANTH331,
,33,,ANTH341,
,33,,ANTH399,
,33,,BCEM393,
,33,,BIOL311,
,33,,BIOL313,
,33,,BIOL315,
,33,,BIOL451,
,33,,BIOL501,
,33,,BIOL503,
,33,,BIOL515,
,33,,BOTA303,
,33,,CHEM201,
,33,,CHEM351,
,33,,CMMB431,
,33,,CMMB519,
,33,,ECON201,
,33,,GEOG205,
,33,,KNES201,
,33,,KNES237,
,33,,KNES243,
,33,,KNES245,
,33,,KNES251,
,33,,KNES253,
,33,,KNES261,
,33,,KNES263,
,33,,MATH249,
,33,,MATH253,
,33,,PHIL383,
,33,,RELS201,
,33,,RELS205,
,33,,RELS399,
,33,,SOCI201,
,33,,SOCI303,
,33,,SOCI325,
,33,,SOCI371,
,33,,SOCI373,
,33,,SOCI399,
,33,,STAT211,
,33,,ZOOL361,
,33,,ZOOL363,
,33,,ZOOL377,
,33,,ZOOL483,
,33,,ZOOL595,
,34,,ANTH311,
,34,,ARKY205,
,34,,MHST401,
,35,,AMAT219,
,35,,AMAT307,
,35,,ANTH203,
,35,,CHEM209,
,35,,CNST201,
,35,,COMS201,
,35,,COMS363,
,35,,ECON201,
,35,,ENCI337,
,35,,ENCI413,
,35,,ENCI451,
,35,,ENCI461,
,35,,ENCI471,
,35,,ENCI473,
,35,,ENCI481,
,35,,ENCI502,
,35,,ENCI506,
,35,,ENCI508,
,35,,ENCI513,
,35,,ENCI523,
,35,,ENCI551,
,35,,ENCI565,
,35,,ENCI570,
,35,,ENCI570A,
,35,,ENCI575,
,35,,ENCI597,
,35,,ENGG201,
